city_name,Temperature,Humidity,Cloudiness,Wind_Speed,longitude,latitude
yuzhno-kurilsk,2.24,100,32,8.41,145.86,44.03
cururupu,22.84,99,88,1.46,-44.87,-1.82
inuvik,-23,69,20,3.6,-133.71,68.36
skjervoy,-4.61,86,0,5.1,20.97,70.03
safaga,,,,,,
abiy adi,,,,,,
prado,26.11,98,12,4.91,-39.22,-17.34
sur,22.69,100,100,4.96,59.53,22.57
perth,2.52,93,75,5.1,-3.43,56.4
dipkarpaz,,,,,,
yenagoa,23.44,93,0,2.61,6.26,4.92
bodrum,15.04,87,40,3.1,27.43,37.04
balabac,28.24,100,8,4.76,117.06,7.99
tilichiki,-32.62,41,0,1.31,166.1,60.47
kitami,3.34,59,40,2.1,143.9,43.8
ternate,30,62,75,2.6,120.72,14.29
aitape,27.71,99,80,1.46,142.36,-3.15
shahr-e babak,-5.42,55,0,1.11,55.12,30.12
karkaralinsk,,,,,,
zyryanka,-45.22,0,0,1.16,150.89,65.73
salinas,11.67,77,1,2.1,-121.66,36.67
pechora,1.31,90,88,4.21,57.16,65.12
umtata,19,100,90,1.5,28.78,-31.59
nouadhibou,17,82,56,7.2,-17.03,20.93
yashkul,-3.44,92,20,4.76,45.34,46.17
inhambupe,22.36,87,80,2.51,-38.36,-11.79
ginir,7.29,72,0,0.96,40.71,7.14
tkibuli,9,70,75,3.6,43.0,42.35
azimur,,,,,,
lubango,12.84,91,0,0.86,13.49,-14.92
namatanai,30.89,91,0,4.16,152.44,-3.66
basti,13.61,76,0,1.96,82.72,26.79
manadhoo,26.86,100,0,0.61,73.38,5.77
hamilton,22,78,90,8.7,-64.78,32.3
san francisco,12.14,83,75,2.6,-122.42,37.78
tinos,14.17,87,92,15.4,25.16,37.54
san carlos de bariloche,12,71,40,11.3,-71.31,-41.13
port blair,28.61,99,56,8.76,92.75,11.67
altay,-22.47,52,0,1.51,88.13,47.83
nioki,23.86,95,76,0.96,17.69,-2.72
vredendal,8.11,90,0,0.96,18.49,-31.68
prince rupert,7,75,90,10.8,-130.32,54.32
yerbogachen,-17.12,59,44,4.86,108.01,61.28
