city_name,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind_Speed
syracuse,43.05,-76.15,-0.19,92,1,2.1
oktyabrskoye,56.73,85.44,-10,85,90,4
hamilton,32.3,-64.78,22,83,90,7.7
khabary,53.63,79.53,-10.28,87,88,2.21
erzin,36.95,36.2,10.44,62,0,6.7
cotonou,6.37,2.43,26,94,20,2.1
carutapera,-1.2,-46.02,23.2,100,80,1.41
dzhusaly,,,,,,
temba,-25.38,28.26,25.28,51,0,2.01
puerto escondido,15.86,-97.07,27.68,100,48,1.66
ilulissat,69.22,-51.1,-7,62,32,2.1
honiton,50.8,-3.19,7,87,40,4.6
atasu,48.68,71.64,-5.88,91,92,4.31
touros,-5.2,-35.46,23,88,20,1
saint-pierre,48.95,4.24,2.03,100,90,7.2
mitu,36.2,46.09,-0.63,64,0,0.96
zarechnyy,60.99,40.4,-14.48,83,36,2.71
nova prata,-28.78,-51.61,20.83,94,12,2.96
salinopolis,-0.61,-47.36,24.95,100,100,3.06
christchurch,-43.53,172.64,19,68,0,6.2
beeville,28.4,-97.75,9.26,29,1,2.6
ortakoy,38.74,34.04,4,80,75,1.26
namibe,-15.19,12.15,22.48,100,92,3.76
tinsukia,27.49,95.36,18,77,40,2.6
san vicente,13.64,-88.78,22,50,0,6.7
dossor,47.52,52.98,-2.43,94,92,2.81
kendari,-3.99,122.52,31.63,67,44,3.11
ayabaca,-4.64,-79.72,12.08,91,0,0.76
hoopstad,-27.83,25.91,22.78,70,0,1.61
hambantota,6.12,81.12,26,94,8,2.1
uvinza,-5.1,30.39,16.75,100,92,0.76
lishui,28.45,119.91,8.98,72,92,1.26
tamandare,-8.28,-70.75,22.18,98,64,1.21
umm lajj,25.02,37.27,22.53,88,0,2.96
kiruna,67.86,20.23,-27,75,32,0.86
charlestown,41.38,-71.64,5.78,76,1,3.1
niquelandia,-14.47,-48.46,19.35,77,0,1.31
gayeri,12.65,0.49,16.43,41,0,3.96
maykor,59.01,55.89,-7.23,92,80,3.76
suamico,44.63,-88.04,-2.97,92,1,2.66
